"Partei: Nr","Partei:Kurzbezeichnung","Partei: Name","Thesen: Nr.","These: These","Position: Position","Position: Begründung"
5,"DIE LINKE","DIE LINKE",27,"Für die begangenen Straftaten sollen auch Kinder unter 14 Jahren verurteilt werden können.","stimmt nicht zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",27,"Für die begangenen Straftaten sollen auch Kinder unter 14 Jahren verurteilt werden können.","stimmt nicht zu","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",28,"Alle Bürgerinnen und Bürger sollen bei gesetzlichen Krankenkassen versichert sein müssen.","stimmt nicht zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",28,"Alle Bürgerinnen und Bürger sollen bei gesetzlichen Krankenkassen versichert sein müssen.","stimmt zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",28,"Alle Bürgerinnen und Bürger sollen bei gesetzlichen Krankenkassen versichert sein müssen.","stimmt nicht zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",28,"Alle Bürgerinnen und Bürger sollen bei gesetzlichen Krankenkassen versichert sein müssen.","stimmt nicht zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",28,"Alle Bürgerinnen und Bürger sollen bei gesetzlichen Krankenkassen versichert sein müssen.","stimmt zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",28,"Alle Bürgerinnen und Bürger sollen bei gesetzlichen Krankenkassen versichert sein müssen.","stimmt zu","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",29,"Der Bund soll weiterhin Projekte gegen Rechtsextremismus fördern.","stimmt zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",29,"Der Bund soll weiterhin Projekte gegen Rechtsextremismus fördern.","stimmt zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",29,"Der Bund soll weiterhin Projekte gegen Rechtsextremismus fördern.","stimmt nicht zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",29,"Der Bund soll weiterhin Projekte gegen Rechtsextremismus fördern.","stimmt zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",29,"Der Bund soll weiterhin Projekte gegen Rechtsextremismus fördern.","stimmt zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",29,"Der Bund soll weiterhin Projekte gegen Rechtsextremismus fördern.","stimmt zu","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",30,"Der Erwerb von selbstgenutztem Wohneigentum soll bis zu einer bestimmten Höhe steuerfrei sein.","stimmt zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",30,"Der Erwerb von selbstgenutztem Wohneigentum soll bis zu einer bestimmten Höhe steuerfrei sein.","stimmt nicht zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",30,"Der Erwerb von selbstgenutztem Wohneigentum soll bis zu einer bestimmten Höhe steuerfrei sein.","stimmt zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",30,"Der Erwerb von selbstgenutztem Wohneigentum soll bis zu einer bestimmten Höhe steuerfrei sein.","stimmt zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",30,"Der Erwerb von selbstgenutztem Wohneigentum soll bis zu einer bestimmten Höhe steuerfrei sein.","stimmt nicht zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",30,"Der Erwerb von selbstgenutztem Wohneigentum soll bis zu einer bestimmten Höhe steuerfrei sein.","stimmt nicht zu","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",31,"Rüstungsexporte aus Deutschland sollen ausnahmslos verboten werden.","stimmt nicht zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",31,"Rüstungsexporte aus Deutschland sollen ausnahmslos verboten werden.","neutral","Keine Begründung"
3,"AfD","Alternative für Deutschland",31,"Rüstungsexporte aus Deutschland sollen ausnahmslos verboten werden.","stimmt nicht zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",31,"Rüstungsexporte aus Deutschland sollen ausnahmslos verboten werden.","stimmt nicht zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",31,"Rüstungsexporte aus Deutschland sollen ausnahmslos verboten werden.","stimmt zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",31,"Rüstungsexporte aus Deutschland sollen ausnahmslos verboten werden.","stimmt nicht zu","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",32,"Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.","stimmt nicht zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",32,"Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.","stimmt nicht zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",32,"Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.","stimmt nicht zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",32,"Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.","stimmt zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",32,"Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.","stimmt zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",32,"Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.","stimmt zu","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",33,"Der Solidaritätszuschlag soll Ende 2019 vollständig abgeschafft werden.","neutral","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",33,"Der Solidaritätszuschlag soll Ende 2019 vollständig abgeschafft werden.","stimmt nicht zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",33,"Der Solidaritätszuschlag soll Ende 2019 vollständig abgeschafft werden.","stimmt zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",33,"Der Solidaritätszuschlag soll Ende 2019 vollständig abgeschafft werden.","stimmt zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",33,"Der Solidaritätszuschlag soll Ende 2019 vollständig abgeschafft werden.","stimmt nicht zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",33,"Der Solidaritätszuschlag soll Ende 2019 vollständig abgeschafft werden.","neutral","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",34,"Anerkannten Flüchtlingen, die sich Integrationsmaßnahmen verweigern, sollen die Leistungen gekürzt werden können.","stimmt zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",34,"Anerkannten Flüchtlingen, die sich Integrationsmaßnahmen verweigern, sollen die Leistungen gekürzt werden können.","stimmt zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",34,"Anerkannten Flüchtlingen, die sich Integrationsmaßnahmen verweigern, sollen die Leistungen gekürzt werden können.","stimmt zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",34,"Anerkannten Flüchtlingen, die sich Integrationsmaßnahmen verweigern, sollen die Leistungen gekürzt werden können.","stimmt zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",34,"Anerkannten Flüchtlingen, die sich Integrationsmaßnahmen verweigern, sollen die Leistungen gekürzt werden können.","stimmt nicht zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",34,"Anerkannten Flüchtlingen, die sich Integrationsmaßnahmen verweigern, sollen die Leistungen gekürzt werden können.","neutral","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",35,"Eltern sollen für ihre Kinder bis zum Ende der Grundschulzeit einen Rechtsanspruch auf Ganztagsbetreuung erhalten.","stimmt zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",35,"Eltern sollen für ihre Kinder bis zum Ende der Grundschulzeit einen Rechtsanspruch auf Ganztagsbetreuung erhalten.","stimmt zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",35,"Eltern sollen für ihre Kinder bis zum Ende der Grundschulzeit einen Rechtsanspruch auf Ganztagsbetreuung erhalten.","stimmt nicht zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",35,"Eltern sollen für ihre Kinder bis zum Ende der Grundschulzeit einen Rechtsanspruch auf Ganztagsbetreuung erhalten.","neutral","Keine Begründung"
5,"DIE LINKE","DIE LINKE",35,"Eltern sollen für ihre Kinder bis zum Ende der Grundschulzeit einen Rechtsanspruch auf Ganztagsbetreuung erhalten.","stimmt zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",35,"Eltern sollen für ihre Kinder bis zum Ende der Grundschulzeit einen Rechtsanspruch auf Ganztagsbetreuung erhalten.","stimmt zu","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",36,"Der Gottesbezug im Grundgesetz sol bestehen bleiben.","stimmt zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",36,"Der Gottesbezug im Grundgesetz sol bestehen bleiben.","stimmt zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",36,"Der Gottesbezug im Grundgesetz sol bestehen bleiben.","stimmt zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",36,"Der Gottesbezug im Grundgesetz sol bestehen bleiben.","neutral","Keine Begründung"
5,"DIE LINKE","DIE LINKE",36,"Der Gottesbezug im Grundgesetz sol bestehen bleiben.","stimmt nicht zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",36,"Der Gottesbezug im Grundgesetz sol bestehen bleiben.","stimmt zu","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",37,"In Deutschland soll es ein bedingungsloses Grundeinkommen geben.","stimmt nicht zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",37,"In Deutschland soll es ein bedingungsloses Grundeinkommen geben.","stimmt nicht zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",37,"In Deutschland soll es ein bedingungsloses Grundeinkommen geben.","stimmt nicht zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",37,"In Deutschland soll es ein bedingungsloses Grundeinkommen geben.","stimmt nicht zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",37,"In Deutschland soll es ein bedingungsloses Grundeinkommen geben.","neutral","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",37,"In Deutschland soll es ein bedingungsloses Grundeinkommen geben.","neutral","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",38,"Die Zusammenarbeit der Mitgliedsstaaten in der Europäischen Union soll verstärkt werden.","stimmt zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",38,"Die Zusammenarbeit der Mitgliedsstaaten in der Europäischen Union soll verstärkt werden.","stimmt zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",38,"Die Zusammenarbeit der Mitgliedsstaaten in der Europäischen Union soll verstärkt werden.","stimmt nicht zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",38,"Die Zusammenarbeit der Mitgliedsstaaten in der Europäischen Union soll verstärkt werden.","stimmt zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",38,"Die Zusammenarbeit der Mitgliedsstaaten in der Europäischen Union soll verstärkt werden.","neutral","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",38,"Die Zusammenarbeit der Mitgliedsstaaten in der Europäischen Union soll verstärkt werden.","stimmt zu","Keine Begründung"
